customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,Not SC,Has A Partner,No Dependents,1,No Phone Service,No phone service,DSL,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,29.85,29.85,Not Churned
5575-GNVDE,Male,Not SC,No Partner,No Dependents,34,Provided Phone Service,Single Line,DSL,Has Online Security,No Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,One year,No Paperless Billing,Mailed check,56.95,1889.5,Not Churned
3668-QPYBK,Male,Not SC,No Partner,No Dependents,2,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Mailed check,53.85,108.15,Churned
7795-CFOCW,Male,Not SC,No Partner,No Dependents,45,No Phone Service,No phone service,DSL,Has Online Security,No Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,One year,No Paperless Billing,Bank transfer (automatic),42.3,1840.75,Not Churned
9237-HQITU,Female,Not SC,No Partner,No Dependents,2,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,70.7,151.65,Churned
9305-CDSKC,Female,Not SC,No Partner,No Dependents,8,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,99.65,820.5,Churned
1452-KIOVK,Male,Not SC,No Partner,Has Dependents,22,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),89.1,1949.4,Not Churned
6713-OKOMC,Female,Not SC,No Partner,No Dependents,10,No Phone Service,No phone service,DSL,Has Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Mailed check,29.75,301.9,Not Churned
7892-POOKP,Female,Not SC,Has A Partner,No Dependents,28,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,104.8,3046.05,Churned
6388-TABGU,Male,Not SC,No Partner,Has Dependents,62,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,One year,No Paperless Billing,Bank transfer (automatic),56.15,3487.95,Not Churned
9763-GRSKD,Male,Not SC,Has A Partner,Has Dependents,13,Provided Phone Service,Single Line,DSL,Has Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Mailed check,49.95,587.45,Not Churned
7469-LKBCI,Male,Not SC,No Partner,No Dependents,16,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No Paperless Billing,Credit card (automatic),18.95,326.8,Not Churned
8091-TTVAX,Male,Not SC,Has A Partner,No Dependents,58,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,One year,No Paperless Billing,Credit card (automatic),100.35,5681.1,Not Churned
0280-XJGEX,Male,Not SC,No Partner,No Dependents,49,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),103.7,5036.3,Churned
5129-JLPIS,Male,Not SC,No Partner,No Dependents,25,Provided Phone Service,Single Line,Fiber optic,Has Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,105.5,2686.05,Not Churned
3655-SNQYZ,Female,Not SC,Has A Partner,Has Dependents,69,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,No Paperless Billing,Credit card (automatic),113.25,7895.15,Not Churned
8191-XWSZG,Female,Not SC,No Partner,No Dependents,52,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No Paperless Billing,Mailed check,20.65,1022.95,Not Churned
9959-WOFKT,Male,Not SC,No Partner,Has Dependents,71,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Two year,No Paperless Billing,Bank transfer (automatic),106.7,7382.25,Not Churned
4190-MFLUW,Female,Not SC,Has A Partner,Has Dependents,10,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Credit card (automatic),55.2,528.35,Churned
4183-MYFRB,Female,Not SC,No Partner,No Dependents,21,Provided Phone Service,Single Line,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,No Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,90.05,1862.9,Not Churned
8779-QRDMV,Male,SC,No Partner,No Dependents,1,No Phone Service,No phone service,DSL,No Online Security,No Online Backup,Has Device Protection,No Tech Support,No Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,39.65,39.65,Churned
